Index,Cubic Form F,Non-Conical,Reduced,Irreducible,Singular Dim,Singular Deg,Dual Deg,Dual Is Hypersurface
359,x0^3 + x1^2*x2 + x1*x2*x3 + x1*x4*x5,True,True,True,2,4,3,True
364,x0^3 + x1^2*x2 + x1*x2*x3 + x2*x4*x5,True,True,True,2,4,3,True
367,x0^3 + x1^2*x2 + x1*x2*x3 + x3*x4*x5,True,True,True,1,4,10,True
368,x0^3 + x1^2*x2 + x1*x2*x3 + x4^2*x5,True,True,True,1,6,6,True
370,x0^3 + x1^2*x2 + x1*x3^2 + x1*x4*x5,True,True,True,2,4,4,True
375,x0^3 + x1^2*x2 + x1*x3^2 + x2*x4*x5,True,True,True,1,4,10,True
376,x0^3 + x1^2*x2 + x1*x3^2 + x3*x4*x5,True,True,True,1,4,10,True
377,x0^3 + x1^2*x2 + x1*x3^2 + x4^2*x5,True,True,True,1,6,8,True
381,x0^3 + x1^2*x2 + x1*x3*x4 + x2*x3*x5,True,True,True,1,6,9,True
382,x0^3 + x1^2*x2 + x1*x3*x4 + x2*x5^2,True,True,True,1,4,10,True
383,x0^3 + x1^2*x2 + x1*x3*x4 + x3^2*x5,True,True,True,2,2,6,False
384,x0^3 + x1^2*x2 + x1*x3*x4 + x3*x4*x5,True,True,True,1,6,6,True
385,x0^3 + x1^2*x2 + x1*x3*x4 + x3*x5^2,True,True,True,1,8,6,True
387,x0^3 + x1^2*x2 + x2*x3^2 + x2*x4*x5,True,True,True,2,4,3,True
388,x0^3 + x1^2*x2 + x2*x3^2 + x4^2*x5,True,True,True,1,6,6,True
390,x0^3 + x1^2*x2 + x2*x3*x4 + x3*x4*x5,True,True,True,1,6,6,True
391,x0^3 + x1^2*x2 + x2*x3*x4 + x3*x5^2,True,True,True,1,8,4,True
394,x0^3 + x1*x2*x3 + x1*x2*x4 + x1*x3*x5,True,True,True,2,4,3,True
395,x0^3 + x1*x2*x3 + x1*x2*x4 + x3*x4*x5,True,True,True,1,4,10,True
425,x0^2*x1 + x0*x1^2 + x0^2*x2 + x3*x4*x5,True,True,True,1,9,4,True
435,x0^2*x1 + x0^2*x2 + x0*x1*x2 + x3*x4*x5,True,True,True,1,6,6,True
452,x0^2*x1 + x0^2*x2 + x0*x1*x3 + x1*x4*x5,True,True,True,2,2,3,True
458,x0^2*x1 + x0^2*x2 + x0*x1*x3 + x2*x4*x5,True,True,True,1,8,4,True
461,x0^2*x1 + x0^2*x2 + x0*x1*x3 + x3*x4*x5,True,True,True,2,2,3,True
462,x0^2*x1 + x0^2*x2 + x0*x1*x3 + x4^2*x5,True,True,True,2,2,4,True
474,x0^2*x1 + x0^2*x2 + x0*x3^2 + x1*x4*x5,True,True,True,1,9,4,True
482,x0^2*x1 + x0^2*x2 + x0*x3*x4 + x1^2*x5,True,True,True,2,2,4,True
484,x0^2*x1 + x0^2*x2 + x0*x3*x4 + x1*x2*x5,True,True,True,1,6,9,True
487,x0^2*x1 + x0^2*x2 + x0*x3*x4 + x1*x3*x5,True,True,True,2,2,3,True
488,x0^2*x1 + x0^2*x2 + x0*x3*x4 + x1*x5^2,True,True,True,2,2,4,True
501,x0^2*x1 + x0^2*x2 + x1^2*x2 + x3*x4*x5,True,True,True,1,3,9,True
507,x0^2*x1 + x0^2*x2 + x1^2*x3 + x1*x4*x5,True,True,True,2,2,4,True
513,x0^2*x1 + x0^2*x2 + x1^2*x3 + x2*x4*x5,True,True,True,1,7,7,True
516,x0^2*x1 + x0^2*x2 + x1^2*x3 + x3*x4*x5,True,True,True,2,2,3,True
517,x0^2*x1 + x0^2*x2 + x1^2*x3 + x4^2*x5,True,True,True,2,1,6,True
522,x0^2*x1 + x0^2*x2 + x1*x2*x3 + x1*x4*x5,True,True,True,2,2,4,True
525,x0^2*x1 + x0^2*x2 + x1*x2*x3 + x3*x4*x5,True,True,True,2,2,4,True
526,x0^2*x1 + x0^2*x2 + x1*x2*x3 + x4^2*x5,True,True,True,1,5,10,True
529,x0^2*x1 + x0^2*x2 + x1*x3^2 + x1*x4*x5,True,True,True,2,2,3,True
533,x0^2*x1 + x0^2*x2 + x1*x3^2 + x2*x4*x5,True,True,True,1,7,4,True
536,x0^2*x1 + x0^2*x2 + x1*x3^2 + x3*x4*x5,True,True,True,2,2,4,True
537,x0^2*x1 + x0^2*x2 + x1*x3^2 + x4^2*x5,True,True,True,2,1,6,True
540,x0^2*x1 + x0^2*x2 + x1*x3*x4 + x2*x3*x5,True,True,True,2,2,4,False
542,x0^2*x1 + x0^2*x2 + x1*x3*x4 + x3^2*x5,True,True,True,2,2,4,True
544,x0^2*x1 + x0^2*x2 + x1*x3*x4 + x3*x5^2,True,True,True,2,2,3,True
559,x0^2*x1 + x0*x1^2 + x0*x1*x2 + x3*x4*x5,True,True,True,1,9,3,True
569,x0^2*x1 + x0*x1^2 + x0*x2^2 + x3*x4*x5,True,True,True,1,6,6,True
574,x0^2*x1 + x0*x1^2 + x0*x2*x3 + x1*x4*x5,True,True,True,1,8,4,True
579,x0^2*x1 + x0*x1^2 + x0*x2*x3 + x2*x4*x5,True,True,True,1,10,4,True
580,x0^2*x1 + x0*x1^2 + x0*x2*x3 + x4^2*x5,True,True,True,2,2,6,True
584,x0^2*x1 + x0*x1^2 + x2^2*x3 + x2*x4*x5,True,True,True,1,8,8,True
586,x0^2*x1 + x0*x1^2 + x2^2*x3 + x3*x4*x5,True,True,True,1,8,6,True
587,x0^2*x1 + x0*x1^2 + x2^2*x3 + x4^2*x5,True,True,True,1,4,12,True
606,x0^2*x1 + x0*x1*x2 + x0*x1*x3 + x2*x4*x5,True,True,True,1,9,3,True
618,x0^2*x1 + x0*x1*x2 + x0*x2^2 + x3*x4*x5,True,True,True,1,6,6,True
632,x0^2*x1 + x0*x1*x2 + x0*x2*x3 + x1*x4*x5,True,True,True,1,8,4,True
638,x0^2*x1 + x0*x1*x2 + x0*x2*x3 + x2*x4*x5,True,True,True,2,2,3,True
641,x0^2*x1 + x0*x1*x2 + x0*x2*x3 + x3*x4*x5,True,True,True,1,8,4,True
642,x0^2*x1 + x0*x1*x2 + x0*x2*x3 + x4^2*x5,True,True,True,2,2,4,True
653,x0^2*x1 + x0*x1*x2 + x0*x3^2 + x1*x4*x5,True,True,True,2,2,4,False
658,x0^2*x1 + x0*x1*x2 + x0*x3^2 + x2*x4*x5,True,True,True,1,8,4,True
660,x0^2*x1 + x0*x1*x2 + x0*x3^2 + x3*x4*x5,True,True,True,1,8,4,True
661,x0^2*x1 + x0*x1*x2 + x0*x3^2 + x4^2*x5,True,True,True,2,2,3,True
664,x0^2*x1 + x0*x1*x2 + x0*x3*x4 + x1^2*x5,True,True,True,2,2,3,True
667,x0^2*x1 + x0*x1*x2 + x0*x3*x4 + x1*x2*x5,True,True,True,1,8,4,True
670,x0^2*x1 + x0*x1*x2 + x0*x3*x4 + x1*x3*x5,True,True,True,2,1,3,True
671,x0^2*x1 + x0*x1*x2 + x0*x3*x4 + x1*x5^2,True,True,True,2,2,4,False
673,x0^2*x1 + x0*x1*x2 + x0*x3*x4 + x2^2*x5,True,True,True,2,2,4,True
676,x0^2*x1 + x0*x1*x2 + x0*x3*x4 + x2*x3*x5,True,True,True,2,1,3,True
677,x0^2*x1 + x0*x1*x2 + x0*x3*x4 + x2*x5^2,True,True,True,2,2,4,True
679,x0^2*x1 + x0*x1*x2 + x0*x3*x4 + x3^2*x5,True,True,True,2,2,3,True
680,x0^2*x1 + x0*x1*x2 + x0*x3*x4 + x3*x4*x5,True,True,True,1,9,3,True
681,x0^2*x1 + x0*x1*x2 + x0*x3*x4 + x3*x5^2,True,True,True,2,2,4,False
691,x0^2*x1 + x0*x1*x2 + x1^2*x3 + x2*x4*x5,True,True,True,1,8,6,True
694,x0^2*x1 + x0*x1*x2 + x1^2*x3 + x3*x4*x5,True,True,True,1,8,4,True
695,x0^2*x1 + x0*x1*x2 + x1^2*x3 + x4^2*x5,True,True,True,2,2,4,True
699,x0^2*x1 + x0*x1*x2 + x1*x2^2 + x3*x4*x5,True,True,True,1,9,3,True
709,x0^2*x1 + x0*x1*x2 + x1*x2*x3 + x2*x4*x5,True,True,True,2,2,4,False
712,x0^2*x1 + x0*x1*x2 + x1*x2*x3 + x3*x4*x5,True,True,True,1,8,4,True
713,x0^2*x1 + x0*x1*x2 + x1*x2*x3 + x4^2*x5,True,True,True,2,2,3,True
721,x0^2*x1 + x0*x1*x2 + x1*x3^2 + x2*x4*x5,True,True,True,1,8,4,True
723,x0^2*x1 + x0*x1*x2 + x1*x3^2 + x3*x4*x5,True,True,True,1,8,4,True
724,x0^2*x1 + x0*x1*x2 + x1*x3^2 + x4^2*x5,True,True,True,2,2,3,True
727,x0^2*x1 + x0*x1*x2 + x1*x3*x4 + x2^2*x5,True,True,True,2,2,3,True
730,x0^2*x1 + x0*x1*x2 + x1*x3*x4 + x2*x3*x5,True,True,True,1,9,4,True
731,x0^2*x1 + x0*x1*x2 + x1*x3*x4 + x2*x5^2,True,True,True,2,2,4,True
733,x0^2*x1 + x0*x1*x2 + x1*x3*x4 + x3^2*x5,True,True,True,2,2,3,True
734,x0^2*x1 + x0*x1*x2 + x1*x3*x4 + x3*x4*x5,True,True,True,1,9,3,True
735,x0^2*x1 + x0*x1*x2 + x1*x3*x4 + x3*x5^2,True,True,True,2,2,4,False
737,x0^2*x1 + x0*x1*x2 + x2^2*x3 + x2*x4*x5,True,True,True,2,2,4,True
740,x0^2*x1 + x0*x1*x2 + x2^2*x3 + x3*x4*x5,True,True,True,1,7,4,True
741,x0^2*x1 + x0*x1*x2 + x2^2*x3 + x4^2*x5,True,True,True,2,1,6,True
743,x0^2*x1 + x0*x1*x2 + x2*x3^2 + x2*x4*x5,True,True,True,2,2,4,True
745,x0^2*x1 + x0*x1*x2 + x2*x3^2 + x3*x4*x5,True,True,True,1,6,9,True
746,x0^2*x1 + x0*x1*x2 + x2*x3^2 + x4^2*x5,True,True,True,1,5,10,True
749,x0^2*x1 + x0*x1*x2 + x2*x3*x4 + x3^2*x5,True,True,True,2,1,4,True
750,x0^2*x1 + x0*x1*x2 + x2*x3*x4 + x3*x4*x5,True,True,True,1,9,3,True
751,x0^2*x1 + x0*x1*x2 + x2*x3*x4 + x3*x5^2,True,True,True,1,8,4,True
752,x0^2*x1 + x0*x1*x2 + x3^2*x4 + x3*x4*x5,True,True,True,1,9,3,True
753,x0^2*x1 + x0*x1*x2 + x3^2*x4 + x3*x5^2,True,True,True,1,9,4,True
754,x0^2*x1 + x0*x1*x2 + x3^2*x4 + x4*x5^2,True,True,True,1,9,3,True
762,x0^2*x1 + x0*x2^2 + x0*x3^2 + x1*x4*x5,True,True,True,1,8,4,True
765,x0^2*x1 + x0*x2^2 + x0*x3^2 + x2*x4*x5,True,True,True,1,8,6,True
766,x0^2*x1 + x0*x2^2 + x0*x3^2 + x4^2*x5,True,True,True,2,2,4,True
770,x0^2*x1 + x0*x2^2 + x0*x3*x4 + x1^2*x5,True,True,True,2,2,5,True
772,x0^2*x1 + x0*x2^2 + x0*x3*x4 + x1*x2*x5,True,True,True,1,6,8,True
775,x0^2*x1 + x0*x2^2 + x0*x3*x4 + x1*x3*x5,True,True,True,1,9,4,True
776,x0^2*x1 + x0*x2^2 + x0*x3*x4 + x1*x5^2,True,True,True,2,2,4,True
779,x0^2*x1 + x0*x2^2 + x0*x3*x4 + x2*x3*x5,True,True,True,2,1,4,True
