0,1,2,3,4,5
0,1,2,3,4,6
0,1,2,3,4,7
0,1,2,3,4,10
0,1,2,3,4,20
0,1,2,3,4,21
0,1,2,3,4,22
0,1,2,3,4,25
0,1,2,3,4,27
0,1,2,3,4,29
0,1,2,3,4,35
0,1,2,3,4,55
0,1,2,3,6,7
0,1,2,3,6,9
0,1,2,3,6,11
0,1,2,3,6,12
0,1,2,3,6,13
0,1,2,3,6,18
0,1,2,3,6,19
0,1,2,3,6,21
0,1,2,3,6,22
0,1,2,3,6,24
0,1,2,3,6,26
0,1,2,3,6,27
0,1,2,3,6,28
0,1,2,3,6,33
0,1,2,3,6,34
0,1,2,3,6,36
0,1,2,3,6,37
0,1,2,3,6,38
0,1,2,3,6,41
0,1,2,3,6,43
0,1,2,3,6,44
0,1,2,3,6,52
0,1,2,3,6,53
0,1,2,3,7,8
0,1,2,3,7,9
0,1,2,3,7,16
0,1,2,3,7,18
0,1,2,3,7,19
0,1,2,3,7,21
0,1,2,3,7,22
0,1,2,3,7,23
0,1,2,3,7,24
0,1,2,3,7,27
0,1,2,3,7,28
0,1,2,3,7,30
0,1,2,3,7,31
0,1,2,3,7,33
0,1,2,3,7,34
0,1,2,3,7,46
0,1,2,3,7,47
0,1,2,3,7,49
0,1,2,3,7,50
0,1,2,3,7,52
0,1,2,3,7,53
0,1,2,3,9,10
0,1,2,3,9,13
0,1,2,3,9,14
0,1,2,3,9,18
0,1,2,3,9,19
0,1,2,3,9,20
0,1,2,3,9,21
0,1,2,3,9,22
0,1,2,3,9,24
0,1,2,3,9,25
0,1,2,3,9,26
0,1,2,3,9,27
0,1,2,3,9,28
0,1,2,3,9,29
0,1,2,3,9,33
0,1,2,3,9,34
0,1,2,3,9,35
0,1,2,3,9,36
0,1,2,3,9,37
0,1,2,3,9,38
0,1,2,3,9,39
0,1,2,3,9,41
0,1,2,3,9,42
0,1,2,3,9,43
0,1,2,3,9,44
0,1,2,3,9,45
0,1,2,3,9,52
0,1,2,3,9,53
0,1,2,3,9,54
0,1,2,3,9,55
0,1,2,3,18,19
0,1,2,3,18,20
0,1,2,3,18,21
0,1,2,3,18,22
0,1,2,3,18,24
0,1,2,3,18,25
0,1,2,3,18,27
0,1,2,3,18,28
0,1,2,3,18,29
0,1,2,3,18,33
0,1,2,3,18,34
0,1,2,3,18,35
0,1,2,3,18,52
0,1,2,3,18,53
0,1,2,3,18,54
0,1,2,3,18,55
0,1,2,3,19,21
0,1,2,3,19,22
0,1,2,3,19,24
0,1,2,3,19,27
0,1,2,3,19,28
0,1,2,3,19,33
0,1,2,3,19,34
0,1,2,3,19,52
0,1,2,3,19,53
0,1,2,3,21,22
0,1,2,3,21,24
0,1,2,3,21,26
0,1,2,3,21,27
0,1,2,3,21,28
0,1,2,3,21,33
0,1,2,3,21,34
0,1,2,3,21,36
0,1,2,3,21,37
0,1,2,3,21,38
0,1,2,3,21,41
0,1,2,3,21,43
0,1,2,3,21,44
0,1,2,3,21,52
0,1,2,3,21,53
0,1,2,3,22,23
0,1,2,3,22,24
0,1,2,3,22,26
0,1,2,3,22,27
0,1,2,3,22,28
0,1,2,3,22,30
0,1,2,3,22,31
0,1,2,3,22,33
0,1,2,3,22,34
0,1,2,3,22,38
0,1,2,3,22,40
0,1,2,3,22,41
0,1,2,3,22,43
0,1,2,3,22,44
0,1,2,3,22,47
0,1,2,3,22,49
0,1,2,3,22,50
0,1,2,3,22,52
0,1,2,3,22,53
0,1,2,3,24,25
0,1,2,3,24,27
0,1,2,3,24,28
0,1,2,3,24,29
0,1,2,3,24,33
0,1,2,3,24,34
0,1,2,3,24,35
