0,1,2
0,1,6
0,1,7
0,1,11
0,1,12
0,1,21
0,1,22
0,1,26
0,1,27
0,1,36
0,1,37
0,1,41
0,6,7
0,6,11
0,6,12
0,6,22
0,6,26
0,6,27
0,6,36
0,6,37
0,6,41
0,7,8
0,7,16
0,7,21
0,7,22
0,7,23
0,7,27
0,7,30
0,7,31
0,7,46
0,7,47
0,7,50
0,21,36
0,21,37
0,21,41
0,22,23
0,22,26
0,22,27
0,22,30
0,22,31
0,22,40
0,22,41
0,22,47
0,22,50
0,27,28
0,27,34
1,2,3
1,2,6
1,2,7
1,2,8
1,2,15
1,2,16
1,2,22
1,2,23
1,2,27
1,2,30
1,2,31
1,2,47
1,2,50
1,6,7
1,6,11
1,6,12
1,6,37
1,6,41
1,7,8
1,7,11
1,7,12
1,7,15
1,7,16
1,7,23
1,7,26
1,7,27
1,7,30
1,7,31
1,7,37
1,7,40
1,7,41
1,7,47
1,7,50
1,11,15
1,11,16
1,11,22
1,11,23
1,11,27
1,11,30
1,11,31
1,11,41
1,11,47
1,11,50
1,12,13
1,12,19
1,12,26
1,12,27
1,12,28
1,12,33
1,12,34
1,12,38
1,12,41
1,12,43
1,12,44
1,12,53
1,26,30
1,26,31
1,26,47
1,26,50
1,27,28
1,27,34
1,27,41
1,27,43
1,27,44
1,27,53
1,37,53
1,41,42
7,8,9
7,8,12
7,8,13
7,8,19
7,8,41
7,8,44
7,16,32
