0,1,2,3
0,1,2,6
0,1,2,7
0,1,2,8
0,1,2,15
0,1,2,16
0,1,2,21
0,1,2,22
0,1,2,23
0,1,2,27
0,1,2,30
0,1,2,31
0,1,2,46
0,1,2,47
0,1,2,50
0,1,6,7
0,1,6,11
0,1,6,12
0,1,6,21
0,1,6,22
0,1,6,26
0,1,6,27
0,1,6,36
0,1,6,37
0,1,6,41
0,1,7,8
0,1,7,11
0,1,7,12
0,1,7,15
0,1,7,16
0,1,7,21
0,1,7,22
0,1,7,23
0,1,7,26
0,1,7,27
0,1,7,30
0,1,7,31
0,1,7,36
0,1,7,37
0,1,7,40
0,1,7,41
0,1,7,46
0,1,7,47
0,1,7,50
0,1,11,12
0,1,11,15
0,1,11,16
0,1,11,21
0,1,11,22
0,1,11,23
0,1,11,26
0,1,11,27
0,1,11,30
0,1,11,31
0,1,11,36
0,1,11,37
0,1,11,40
0,1,11,41
0,1,11,46
0,1,11,47
0,1,11,50
0,1,12,13
0,1,12,19
0,1,12,21
0,1,12,22
0,1,12,24
0,1,12,26
0,1,12,27
0,1,12,28
0,1,12,33
0,1,12,34
0,1,12,36
0,1,12,37
0,1,12,38
0,1,12,41
0,1,12,43
0,1,12,44
0,1,12,52
0,1,12,53
0,1,21,26
0,1,21,27
0,1,21,36
0,1,21,37
0,1,21,41
0,1,22,23
0,1,22,26
0,1,22,27
0,1,22,30
0,1,22,31
0,1,22,36
0,1,22,37
0,1,22,40
0,1,22,41
0,1,22,46
0,1,22,47
0,1,22,50
0,1,26,27
0,1,26,30
0,1,26,31
0,1,26,36
0,1,26,37
0,1,26,40
0,1,26,41
0,1,26,46
0,1,26,47
0,1,26,50
0,1,27,28
0,1,27,34
0,1,27,36
0,1,27,37
0,1,27,38
0,1,27,41
0,1,27,43
0,1,27,44
0,1,27,52
0,1,27,53
0,1,36,37
0,1,36,40
0,1,36,41
0,1,36,46
0,1,36,47
0,1,36,50
0,1,37,38
0,1,37,40
0,1,37,41
0,1,37,43
0,1,37,44
0,1,37,49
0,1,37,50
0,1,37,53
0,1,41,42
0,6,7,8
0,6,7,11
0,6,7,12
0,6,7,15
0,6,7,16
0,6,7,22
0,6,7,23
0,6,7,26
0,6,7,27
0,6,7,30
0,6,7,31
0,6,7,36
0,6,7,37
0,6,7,40
0,6,7,41
0,6,7,46
0,6,7,47
0,6,7,50
0,6,11,15
0,6,11,16
0,6,11,22
0,6,11,23
0,6,11,27
0,6,11,30
0,6,11,31
0,6,11,46
0,6,11,47
0,6,11,50
0,6,12,13
0,6,12,19
0,6,12,22
0,6,12,24
0,6,12,26
0,6,12,27
0,6,12,28
0,6,12,33
0,6,12,34
0,6,12,36
0,6,12,37
0,6,12,38
0,6,12,41
0,6,12,43
0,6,12,44
0,6,12,52
0,6,12,53
0,6,22,23
0,6,22,26
0,6,22,27
0,6,22,30
0,6,22,31
0,6,22,36
0,6,22,37
0,6,22,40
0,6,22,41
0,6,22,46
0,6,22,47
0,6,22,50
0,6,26,27
0,6,26,30
0,6,26,31
0,6,26,37
0,6,26,40
0,6,26,41
0,6,26,46
0,6,26,47
0,6,26,50
0,6,27,28
0,6,27,34
0,6,27,36
0,6,27,37
0,6,27,38
0,6,27,41
0,6,27,43
0,6,27,44
0,6,27,52
0,6,27,53
0,6,36,40
0,6,36,41
0,6,36,46
0,6,36,47
0,6,36,50
0,6,37,38
0,6,37,40
0,6,37,41
0,6,37,43
0,6,37,44
0,6,37,49
0,6,37,50
0,6,37,53
0,6,41,42
0,7,8,9
0,7,8,12
0,7,8,13
0,7,8,19
0,7,8,21
0,7,8,22
0,7,8,24
0,7,8,26
0,7,8,27
0,7,8,28
0,7,8,33
0,7,8,34
0,7,8,36
0,7,8,37
0,7,8,38
0,7,8,41
0,7,8,43
0,7,8,44
0,7,8,52
0,7,8,53
0,7,16,21
0,7,16,22
0,7,16,23
0,7,16,25
0,7,16,27
0,7,16,29
0,7,16,32
0,7,16,35
0,7,16,55
0,7,21,36
0,7,21,37
0,7,21,40
0,7,21,41
0,7,21,46
0,7,21,47
0,7,21,50
0,7,22,23
0,7,22,26
0,7,22,27
0,7,22,30
0,7,22,31
0,7,22,37
0,7,22,40
0,7,22,41
0,7,22,46
0,7,22,47
0,7,22,50
0,7,23,24
0,7,23,27
0,7,23,28
0,7,23,30
0,7,23,31
0,7,23,33
0,7,23,34
0,7,23,37
0,7,23,38
0,7,23,40
0,7,23,41
0,7,23,43
0,7,23,44
0,7,23,47
0,7,23,49
0,7,23,50
0,7,23,52
0,7,23,53
0,7,27,28
0,7,27,30
0,7,27,31
0,7,27,33
0,7,27,34
0,7,27,46
0,7,27,47
0,7,27,49
0,7,27,50
0,7,27,52
0,7,27,53
0,7,30,31
0,7,30,33
0,7,30,34
0,7,30,40
0,7,30,41
0,7,30,43
0,7,30,44
0,7,30,47
0,7,30,49
0,7,30,50
0,7,30,52
0,7,30,53
0,7,31,32
0,7,31,41
0,7,31,42
0,7,31,46
0,7,31,47
0,7,31,48
0,7,31,50
0,7,31,51
0,7,31,55
0,7,46,50
0,7,46,52
0,7,46,53
0,7,47,48
0,7,47,49
0,7,47,50
0,7,47,51
0,7,47,54
0,21,36,46
0,21,36,47
0,21,36,50
0,21,37,38
0,21,37,40
0,21,37,41
0,21,37,43
0,21,37,44
0,21,37,49
0,21,37,50
0,21,37,53
0,21,41,42
0,22,23,24
0,22,23,26
0,22,23,27
0,22,23,28
0,22,23,33
0,22,23,34
0,22,23,37
0,22,23,38
0,22,23,41
