0,1,2,3,4
0,1,2,3,6
0,1,2,3,7
0,1,2,3,9
0,1,2,3,18
0,1,2,3,19
0,1,2,3,21
0,1,2,3,22
0,1,2,3,24
0,1,2,3,27
0,1,2,3,28
0,1,2,3,33
0,1,2,3,34
0,1,2,3,52
0,1,2,3,53
0,1,2,6,7
0,1,2,6,8
0,1,2,6,11
0,1,2,6,12
0,1,2,6,15
0,1,2,6,16
0,1,2,6,21
0,1,2,6,22
0,1,2,6,23
0,1,2,6,26
0,1,2,6,27
0,1,2,6,30
0,1,2,6,31
0,1,2,6,36
0,1,2,6,37
0,1,2,6,40
0,1,2,6,41
0,1,2,6,46
0,1,2,6,47
0,1,2,6,50
0,1,2,7,8
0,1,2,7,15
0,1,2,7,16
0,1,2,7,21
0,1,2,7,22
0,1,2,7,23
0,1,2,7,27
0,1,2,7,30
0,1,2,7,31
0,1,2,7,46
0,1,2,7,47
0,1,2,7,50
0,1,2,8,9
0,1,2,8,12
0,1,2,8,13
0,1,2,8,15
0,1,2,8,16
0,1,2,8,18
0,1,2,8,19
0,1,2,8,21
0,1,2,8,22
0,1,2,8,23
0,1,2,8,24
0,1,2,8,26
0,1,2,8,27
0,1,2,8,28
0,1,2,8,30
0,1,2,8,31
0,1,2,8,33
0,1,2,8,34
0,1,2,8,36
0,1,2,8,37
0,1,2,8,38
0,1,2,8,40
0,1,2,8,41
0,1,2,8,43
0,1,2,8,44
0,1,2,8,46
0,1,2,8,47
0,1,2,8,49
0,1,2,8,50
0,1,2,8,52
0,1,2,8,53
0,1,2,15,16
0,1,2,15,18
0,1,2,15,19
0,1,2,15,21
0,1,2,15,22
0,1,2,15,23
0,1,2,15,24
0,1,2,15,27
0,1,2,15,28
0,1,2,15,30
0,1,2,15,31
0,1,2,15,33
0,1,2,15,34
0,1,2,15,46
0,1,2,15,47
0,1,2,15,49
0,1,2,15,50
0,1,2,15,52
0,1,2,15,53
0,1,2,16,17
0,1,2,16,21
0,1,2,16,22
0,1,2,16,23
0,1,2,16,25
0,1,2,16,27
0,1,2,16,29
0,1,2,16,30
0,1,2,16,31
0,1,2,16,32
0,1,2,16,35
0,1,2,16,46
0,1,2,16,47
0,1,2,16,48
0,1,2,16,50
0,1,2,16,51
0,1,2,16,55
0,1,2,21,22
0,1,2,21,23
0,1,2,21,26
0,1,2,21,27
0,1,2,21,30
0,1,2,21,31
0,1,2,21,36
0,1,2,21,37
0,1,2,21,40
0,1,2,21,41
0,1,2,21,46
0,1,2,21,47
0,1,2,21,50
0,1,2,22,23
0,1,2,22,26
0,1,2,22,27
0,1,2,22,30
0,1,2,22,31
0,1,2,22,37
0,1,2,22,40
0,1,2,22,41
0,1,2,22,46
0,1,2,22,47
0,1,2,22,50
0,1,2,23,24
0,1,2,23,27
0,1,2,23,28
0,1,2,23,30
0,1,2,23,31
0,1,2,23,33
0,1,2,23,34
0,1,2,23,37
0,1,2,23,38
0,1,2,23,40
0,1,2,23,41
0,1,2,23,43
0,1,2,23,44
0,1,2,23,46
0,1,2,23,47
0,1,2,23,49
0,1,2,23,50
0,1,2,23,52
0,1,2,23,53
0,1,2,27,28
0,1,2,27,30
0,1,2,27,31
0,1,2,27,33
0,1,2,27,34
0,1,2,27,46
0,1,2,27,47
0,1,2,27,49
0,1,2,27,50
0,1,2,27,52
0,1,2,27,53
0,1,2,30,31
0,1,2,30,33
0,1,2,30,34
0,1,2,30,40
0,1,2,30,41
0,1,2,30,43
0,1,2,30,44
0,1,2,30,46
0,1,2,30,47
0,1,2,30,49
0,1,2,30,50
0,1,2,30,52
0,1,2,30,53
0,1,2,31,32
0,1,2,31,41
0,1,2,31,42
0,1,2,31,46
0,1,2,31,47
0,1,2,31,48
0,1,2,31,50
0,1,2,31,51
0,1,2,31,55
0,1,2,46,47
0,1,2,46,49
0,1,2,46,50
0,1,2,46,52
0,1,2,46,53
0,1,2,47,48
0,1,2,47,49
0,1,2,47,50
0,1,2,47,51
0,1,2,47,54
0,1,6,7,8
0,1,6,7,11
0,1,6,7,12
0,1,6,7,15
0,1,6,7,16
0,1,6,7,21
0,1,6,7,22
0,1,6,7,23
0,1,6,7,26
0,1,6,7,27
0,1,6,7,30
0,1,6,7,31
0,1,6,7,36
0,1,6,7,37
0,1,6,7,40
0,1,6,7,41
0,1,6,7,46
0,1,6,7,47
0,1,6,7,50
0,1,6,11,12
0,1,6,11,15
0,1,6,11,16
0,1,6,11,21
0,1,6,11,22
0,1,6,11,23
0,1,6,11,26
0,1,6,11,27
0,1,6,11,30
0,1,6,11,31
0,1,6,11,36
0,1,6,11,37
0,1,6,11,40
0,1,6,11,41
0,1,6,11,46
0,1,6,11,47
0,1,6,11,50
0,1,6,12,13
0,1,6,12,19
0,1,6,12,21
0,1,6,12,22
0,1,6,12,24
0,1,6,12,26
0,1,6,12,27
0,1,6,12,28
0,1,6,12,33
0,1,6,12,34
0,1,6,12,36
0,1,6,12,37
0,1,6,12,38
0,1,6,12,41
0,1,6,12,43
0,1,6,12,44
0,1,6,12,52
0,1,6,12,53
0,1,6,21,36
0,1,6,21,37
0,1,6,21,41
0,1,6,22,23
0,1,6,22,26
0,1,6,22,27
0,1,6,22,30
0,1,6,22,31
0,1,6,22,36
0,1,6,22,37
0,1,6,22,40
0,1,6,22,41
0,1,6,22,46
0,1,6,22,47
0,1,6,22,50
0,1,6,26,27
0,1,6,26,30
0,1,6,26,31
0,1,6,26,36
0,1,6,26,37
0,1,6,26,40
0,1,6,26,41
0,1,6,26,46
0,1,6,26,47
0,1,6,26,50
0,1,6,27,28
0,1,6,27,34
0,1,6,27,36
0,1,6,27,37
0,1,6,27,38
0,1,6,27,41
0,1,6,27,43
0,1,6,27,44
0,1,6,27,52
0,1,6,27,53
0,1,6,36,37
0,1,6,36,40
0,1,6,36,41
0,1,6,36,46
0,1,6,36,47
0,1,6,36,50
0,1,6,37,38
0,1,6,37,40
0,1,6,37,41
0,1,6,37,43
0,1,6,37,44
0,1,6,37,49
0,1,6,37,50
0,1,6,37,53
0,1,6,41,42
0,1,7,8,9
0,1,7,8,11
0,1,7,8,12
0,1,7,8,13
0,1,7,8,18
0,1,7,8,19
0,1,7,8,21
0,1,7,8,22
0,1,7,8,24
0,1,7,8,26
0,1,7,8,27
0,1,7,8,28
0,1,7,8,33
0,1,7,8,34
0,1,7,8,36
0,1,7,8,37
0,1,7,8,38
0,1,7,8,41
0,1,7,8,43
0,1,7,8,44
0,1,7,8,52
0,1,7,8,53
0,1,7,11,12
0,1,7,11,15
0,1,7,11,16
0,1,7,11,21
0,1,7,11,22
0,1,7,11,23
0,1,7,11,26
0,1,7,11,27
0,1,7,11,30
0,1,7,11,31
